name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
ROMAC,150 mg,Comprimes,B/12,9.93,7.497,ROXITHROMYCINE,Antibiotiques,true
ROMPALGINE,400 mg/50 mg/20 mg,Comprimes,B/20,5.125,4.352,PARACETAMOL+CAFEINE+CODEINE,Analgésiques (antidouleurs),false
RONALIN,"2,5 mg",Comprimes secables,B/30,8.025,6.809,BROMOCRIPTINE,Hormones,true
ROSAL,20 mg,Gelules,B/30,27.435,20.961,FLUOXETINE,Antidépresseurs,true
ROSULIP,5 mg,Comprimes pellicules,B/30,15.23,11.628,ROSUVASTATINE,Autres,true
ROSUVANS,5 mg,Comprimes pellicules,B/30,14.28,11.628,ROSUVASTATINE,Autres,true
ROSUVASCOR,5 mg,Comprimes pellicules,B/30,15.23,11.628,ROSUVASTATINE,Autres,true
ROSUVASCOR,5 mg,Comprimes pellicules,B/90,42.44,34.884,ROSUVASTATINE,Autres,true
ROSUVAST 5,5 mg,Comprimes pellicules,B/30,15.555,11.628,ROSUVASTATINE,Autres,true
ROVAMYCINE,"0,75 MU",Comprimes,B/20,3.955,3.349,SPIRAMYCINE,Antibiotiques,true
ROVAMYCINE,"1,5 MU",Comprimes pellicules,B/16,8.725,6.066,SPIRAMYCINE,Antibiotiques,true
ROVAMYCINE,3 MU,Comprimes pellicules,B/10,11.385,6.553,SPIRAMYCINE,Antibiotiques,true
ROVASTINE,10 mg,Comprimes pellicules,B/30,16.89,13.77,ROSUVASTATINE,Autres,true
ROVASTINE,10 mg,Comprimes pellicules,B/90,48.66,41.31,ROSUVASTATINE,Autres,true
ROVASTINE,10 mg,Comprimes pellicules secables,B/30,21.72,13.77,ROSUVASTATINE,Autres,true
ROVASTINE,20 mg,Comprimes pellicules,B/30,25.23,20.655,ROSUVASTATINE,Autres,true
ROVASTINE,20 mg,Comprimes pellicules,B/90,72.96,61.965,ROSUVASTATINE,Autres,true
ROVASTINE,5 mg,Comprimes pellicules,B/30,14.28,11.628,ROSUVASTATINE,Autres,true
ROVASTINE,5 mg,Comprimes pellicules,B/90,41.1,34.884,ROSUVASTATINE,Autres,true
ROXAM,20 mg,Gelules,B/15,11.63,8.466,PIROXICAM,Anti-inflammatoires,false
ROXAM,20 mg,Poudre pour solution orale,B/8 sachets,6.085,5.168,PIROXICAM,Anti-inflammatoires,true
ROXAMED,150 mg,Comprimes pellicules,B/12,9.475,7.497,ROXITHROMYCINE,Antibiotiques,true
ROXIMAX,150 mg,Comprimes pellicules secables,B/12,9.94,7.497,ROXITHROMYCINE,Antibiotiques,true
ROXIMAX,150 mg,Comprimes pellicules secables,B/16,11.765,9.996,ROXITHROMYCINE,Antibiotiques,true
ROZUVIE 5,5 mg,Comprimes pellicules,B/30,15.545,11.628,ROSUVASTATINE,Autres,true
RUGDAL,40 mg,Gelules gastroresistantes,FL/8,10.76,4.964,ESOMEPRAZOLE,Antiacides,false
RULID 150,150 mg,Comprimes pellicules,B/12,10.295,7.497,ROXITHROMYCINE,Antibiotiques,true
RYTHMODAN,100 mg,Gelules,B/40,4.32,3.672,DISOPYRAMIDE PHOSPHATE,Autres,true
RYTHMODAN LP,250 mg,Comprimes enrobes secables,B/20,6.406,5.44,DISOPYRAMIDE PHOSPHATE,Autres,true
RYZODEG FLEX TOUCH,100 UI/ml,Solution injectable,B/5 stylo prér de 3 ml,216.815,216.815,INSULINE ASPARTE + INSULINE DEGLUDEC,Antidiabétiques,true
SABRIL,500 mg,Comprimes pellicules,B/60,205.369,205.369,VIGABATRIN,Anticonvulsivants,true
SAIFORAL,250 mg,Poudre pour suspension orale,FL/60 ml,6.12,4.029,CEFADROXIL,Antibiotiques,true
SAIFORAL,500 mg,Gelules,B/12,7.185,5.273,CEFADROXIL,Antibiotiques,true
SAIFORAL,500 mg,Gelules,B/24,12.76,10.547,CEFADROXIL,Antibiotiques,true
SAIFORAL,500 mg,Poudre pour suspension orale,FL/60 ml,8.755,6.936,CEFADROXIL,Antibiotiques,true
SAIFOXYL,1 g,Comprimes dispersibles,B/12,8.0,4.845,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,1 g,Comprimes dispersibles secables,B/14,10.11,5.652,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,1 g,Comprimes dispersibles secables,B/24,11.41,9.69,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,1 g,Comprimes pellicules,B/12,6.115,5.192,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,1 g,Pdre p.prep.injectable,B/1 FL + solv/5 ml,3.255,2.767,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,125 mg,Poudre pour suspension orale,FL/60 ml,2.12,1.785,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,250 mg/5 ml,Poudre pour suspension orale,B/1 FL/60 ml,3.74,2.244,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,250 mg/5 ml,Poudre pour suspension orale,FL/100 ml,4.51,3.74,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml,3.38,2.244,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml + cuil doseuse,3.27,2.244,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,250 mg/5 ml,Sirop,FL/60 ml,2.67,2.244,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg,Comprimes pellicules,B/12,4.43,2.519,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg,Comprimes pellicules,B/24,8.77,6.14,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg,Gelules,B/12,3.845,2.519,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg,Gelules,B/24,7.02,5.039,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Granules pour suspension buvable,FL/100 ml,8.595,6.375,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,B/1 FL/60 ml,4.94,3.825,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/100 ml,7.595,6.375,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml,6.435,3.825,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml + cuil doseuse,6.575,3.825,AMOXICILLINE,Antibiotiques,true
SAIFOXYL,500 mg/5 ml,Sirop,FL/60 ml,6.07,3.825,AMOXICILLINE,Antibiotiques,true
SALAZOPYRINE,500 mg,Comprimes gastro-resistants,FL/100,10.269,8.67,SULFASALAZINE,Anti-inflammatoires,true
SALBUMOL,"0,5 mg",Solution injectable,B/6/1 ml,2.278,1.933,SALBUTAMOL,Bronchodilatateurs,false
SALBUMOL,1 mg,Suppositoires,B/12,2.352,1.999,SALBUTAMOL,Bronchodilatateurs,false
SCITOPLEX 10,10 mg,Comprimes pellicules secables,B/30,29.675,21.573,ESCITALOPRAM,Antidépresseurs,true
SEBIPROX,"1,50%",Shampooing,FL/100 ml,16.48,13.94,CICLOPIROXOLAMINE,Antifongiques,false
SECTRAL,200 mg,Comprimes pellicules,B/20,6.24,2.941,ACEBUTOLOL,Antihypertenseurs,true
SECTRAL,400 mg,Comprimes pellicules,B/30,17.375,6.018,ACEBUTOLOL,Antihypertenseurs,true
SEDACORON,150 mg,Solution injectable,B/5/3 ml,3.512,2.983,AMIODARONE,Autres,true
SEDATYL,100 mg/2 ml,Solution injectable,B/4/2 ml,2.025,1.72,SULPIRIDE,Antipsychotiques,true
SEEBRI BREEZHALER,44 µg,Poudre pour inhalation buccale,B/30 + inhal,89.82,76.347,GLYCOPYRRONIUM BROMIDE,Bronchodilatateurs,true
SEMGLEE,100 UI/ml,Solution injectable,B/5 stylo prér,123.9,123.9,INSULINE ANALOGUE : GLARGINE,Antidiabétiques,true
SEPTEAL,"0,50%",Solution externe,FL/250 ml,3.835,1.5,CHLORHEXIDINE,Autres,false
SEPTISAN,"0,50%",Solution externe,FL/250 ml,3.19,1.1,TRICHLOCARBAN,Autres,true
SEPTISAN,"0,50%",Solution externe,FL/500 ml,5.7,2.2,TRICHLOCARBAN,Autres,true
